ContestId,TabulatorId,BatchId,RecordId,PrecinctId,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,34,1,1,1,5,8,7,11,9
1,34,1,2,2,12,11,1,7,4
1,34,1,3,3,1,9,3,12,4
1,34,1,4,4,11,5,3,4,7
1,34,1,5,5,undervote,undervote,undervote,undervote,undervote
1,34,1,6,6,9,8,7,12,3
1,34,1,7,7,8,11,9,3,12
1,34,1,8,8,5,3,7,8,4
1,34,1,9,9,undervote,undervote,undervote,undervote,undervote
1,34,1,10,10,undervote,undervote,undervote,undervote,undervote
1,34,1,11,11,12,11,3,1,5
1,34,1,12,12,3,12,4,9,5
1,34,1,13,13,12,4,3,1,8
1,34,1,14,14,5,11,12,1,8
1,34,1,15,15,5,1,7,11,9
1,34,1,16,16,7,3,12,9,1
1,34,1,17,17,4,11,12,5,3
1,34,1,18,18,3,5,4,12,9
1,34,1,19,19,8,9,undervote,12,3
1,34,1,20,20,8,11,3,4,1
1,34,1,21,21,9,3,12,8,overvote
1,34,1,22,22,undervote,undervote,undervote,undervote,undervote
1,34,1,23,23,4,1,3,8,12
1,34,1,24,24,1,9,7,4,11
1,34,1,25,25,5,3,11,1,9
1,34,1,26,26,3,9,7,11,1
1,34,1,27,27,4,9,11,12,1
1,34,1,28,28,3,7,8,12,4
1,34,1,29,29,9,12,8,11,5
1,34,1,30,30,12,4,1,5,8
1,34,1,31,31,1,5,8,9,12
1,34,1,32,32,11,7,1,4,12
1,34,1,33,33,3,5,7,8,11
1,34,1,34,34,7,11,1,8,5
1,34,1,35,35,12,4,1,11,5
1,34,1,36,36,4,12,7,1,11
1,34,1,37,37,8,7,4,5,3
1,34,1,38,38,9,11,1,8,3
1,34,1,39,39,5,11,12,8,9
1,34,1,40,40,undervote,undervote,undervote,undervote,undervote
1,34,1,41,41,overvote,undervote,7,3,9
1,34,1,42,42,7,1,3,11,12
1,34,1,43,43,3,5,9,1,8
1,34,1,44,44,8,5,9,11,3
1,34,1,45,45,1,8,12,3,11
1,34,1,46,46,undervote,undervote,undervote,undervote,undervote
1,34,1,47,47,8,7,1,12,5
1,34,1,48,48,5,9,12,4,1
1,34,1,49,49,12,7,1,11,8
1,34,1,50,50,4,8,7,5,9
1,34,1,51,51,8,5,3,4,1
1,34,1,52,52,7,1,11,12,4
1,34,1,53,53,5,3,1,8,11
1,34,1,54,54,1,4,9,12,8
1,34,1,55,55,8,5,7,4,3
1,34,1,56,56,3,11,7,4,5
1,34,1,57,57,4,12,1,9,11
1,34,1,58,58,12,11,8,3,7
1,34,1,59,59,1,7,5,9,8
1,34,1,60,60,4,11,9,12,3
1,34,1,61,61,5,1,7,12,8
1,34,1,62,62,7,3,11,9,1
1,34,1,63,63,8,7,3,9,4
1,34,1,64,64,undervote,undervote,undervote,undervote,undervote
1,34,1,65,65,7,4,1,3,11
1,34,1,66,66,5,1,9,4,7
1,34,1,67,67,11,8,9,3,12
1,34,1,68,68,8,1,4,9,5
1,34,1,69,69,12,8,9,11,7
1,34,1,70,70,5,9,7,1,4
1,34,1,71,71,8,5,12,4,7
1,34,1,72,72,8,7,1,9,3
1,34,1,73,73,1,4,9,7,5
1,34,1,74,74,7,9,8,12,5
1,34,1,75,75,3,11,5,12,9
1,34,1,76,76,undervote,undervote,undervote,undervote,undervote
1,34,1,77,77,4,1,5,7,8
1,34,1,78,78,11,4,12,1,11
1,34,1,79,79,1,11,7,12,9
1,34,1,80,80,1,7,9,5,8
1,34,1,81,81,12,11,9,1,8
1,34,1,82,82,8,7,9,1,12
1,34,1,83,83,8,7,11,1,12
1,34,1,84,84,4,8,11,7,1
1,34,1,85,85,3,7,9,11,5
1,34,1,86,86,11,12,8,4,3
1,34,1,87,87,5,9,12,7,11
1,34,1,88,88,11,4,3,5,1
1,34,1,89,89,8,overvote,12,5,12
1,34,1,90,90,3,7,11,4,5
1,34,1,91,91,7,4,3,5,9
1,34,1,92,92,3,9,5,12,1
1,34,1,93,93,5,4,1,7,9
1,34,1,94,94,7,11,9,12,8
